City,Continent,Latitude,Longitude
Moscow,Europe,55.7558,37.6173
Prague,Europe,50.0755,14.4378
Delhi,Asia,28.7041,77.1025
Ṣo Paulo,South America,-23.5505,-46.6333
Bangkok,Asia,13.7563,100.5018
Taipei,Asia,25.033,121.5654
Seoul,Asia,37.5503,126.9971
Hong Kong,Asia,22.3193,114.1694
San Francisco,North America,37.7749,-122.4194
Beijing,Asia,39.9042,116.4074
Seattle,North America,47.6062,-122.3321
Sydney,Oceania,-33.8688,151.2093
Chicago,North America,41.8781,-87.6298
NYC,North America,40.7128,-74.006
Melbourne,Oceania,-37.8136,144.9631
Amsterdam,Europe,52.3676,4.9041
Buenos Aires,South America,-34.6037,-58.3821
Berlin,Europe,52.52,13.405
Athens,Europe,37.9838,23.7275
Paris,Europe,48.8566,2.3522
Cairo,Africa,30.0444,31.2357
Bogota,South America,4.711,-74.0721
Shanghai,Asia,31.2304,121.4737
Tokyo,Asia,35.6895,139.6917
Mumbai,Asia,19.076,72.8777
Johannesburg,Africa,-26.2041,28.0473
Singapore,Asia,1.3521,103.8198
Cape Town,Africa,-33.9249,18.4241
Santiago,South America,-33.4489,-70.6693
Toronto,North America,43.6532,-79.3832
Auckland,Oceania,-36.8509,174.7645
Los Angeles,North America,34.0522,-118.2437
London,Europe,51.5074,-0.1278